Algorithm;ScenarioName;RunIndex;MapWidth;MapHeight;ObstacleDensity;MapType;AllowDiagonal;Start;Goal;LinearDistance;WeightW;TimeLimitMs;MaxExpansions;TieBreakLowG;Found;PathCost;PathLength;Expansions;ElapsedMs;AllocBytes
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;32;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;251;0;203632
Dijkstra;0_100x100_dens0,10_corner_NoDiag;33;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;7;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;33;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;208.0;209;252;0;203880
Dijkstra;0_100x100_dens0,10_corner_NoDiag;34;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;6;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;34;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;284;0;211816
Dijkstra;0_100x100_dens0,10_corner_NoDiag;36;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;6;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;36;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;273;0;209088
Dijkstra;0_100x100_dens0,10_corner_NoDiag;37;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8993;8;4798104
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;37;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;222;0;184128
Dijkstra;0_100x100_dens0,10_corner_NoDiag;38;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;6;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;38;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;336;0;224712
Dijkstra;0_100x100_dens0,10_corner_NoDiag;39;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;5;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;39;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;202.0;203;375;0;234384
